"","X1_1","Question","Answer","Speaker"
"2229",240,"
									   يوصي البعض بنقل جثمانه إلى المشاهد المشرفة عند موته ، وعندما يعرفون ذلك في المستشفى يقطعون بعض أحشائه الداخلية بعد موته ليمكن المحافظة على الجسد فترة أطول ، فهل يجوز للولي السماح لهم بذلك ؟ وما الحكم فيما لو يمتنع المسؤولون في بلد من نقل الجثمان إذا لم تقطع أحشاؤه ، فيلزم من عدم السماح بذلك مخالفة الوصية ؟
","
									   لا يجوز قطع الأحشاء ، ويجب على الوصي منعهم من ذلك حتى لو استلزم عدم تنفيذ الوصية ، لعدم نفوذ الوصية إذا توقف تنفيذها على الحرام .
","الحكيم"
"2230",244,"
									   ماحكم اشباع الحركات الثلاث الى حد تكون  الحركة حرفا مثل (فصل لربك وانحر) فتقرأ بالاشباع (فصلي لربك وانحر) ؟
","
									    الزيادة عمداً في السورة مبطل للصلاة، ولو كان ذلك حرفاً او حركةً من القراءة والواجب من القراءة ان تكون على النهج العربي فلا يجزئ الملحون. 
","الحكيم"
"2231",245,"
									   ما حكم قراءة القرآن بإحدى القراءات السبع أو العشر المعروفة؟
","
									   يتخير المكلف في القراءة بين القراءات المشهورة المتداولة في زمان الأئمة (عليهم السلام) وإن كان الأولى اليوم القراءة على ما هو المثبت في المصاحف المشهورة بين المسلمين.","الحكيم"
"2232",246,"
									   هل يستحب الاتيان بالتلقين وكذلك صلاة الوحشة للطفل ؟
","
									   لا بأس بذلك برجاء المشروعية.
","الحكيم"
"2233",247,"
									   زيد من الناس كان يتوضأ بطريقة خاطئة مدة من الزمن جاهلا ، حيث يقدم مسح يده اليسرى قبل اليمنى .فهل نحكم بصحة صلاته؟
","
									   يبطل وضوؤه والاخلال بالطهارة من الحدث موجب لبطلان الصلاة فيجب عليه قضاء الصلوات التي صلاها. نعم, الصلوات المأتي بها بعد غسل الجنابة او غسل مشروع كغسل الجمعة لا يجب قضاءها واذا تردد الفائت بين الأقل والأكثر اقتصر على الاقل.
","الحكيم"
"2234",248,"
									   كيفية النية في صلاة الزيارة لاحد المراقد المطهرة؟
","
									   لا يجب في النية التلفظ بمؤداها بل موقعها النفس كما انها لا تحتاج الى تكلف واستحضار بل يكفي حصولها بمقتضى طبع المكلف وارتكازه بحيث لو سئل لأجاب بأني اريد صلاة الزيارة قربة لله تعالى.
","الحكيم"
"2235",249,"
									   هل يصح استئجار شخص لصلاة القضاء اذا كان جزء من كفه مقطوعاً ؟
","
									   لا تبرأ ذمة المنوب عنه بعمل النائب إذا كان اضطرارياً، كما  لو كانت وظيفته التيمم أو الطهارة الجبيرية أو الصلاة من جلوس أو نحوها، إلا  مع الاضطرار، بان لا يكون هناك من يؤدي عنه بعمل اختياري تام، ولو حصل  ذلك وجيء بالعمل الاضطراري فالاجتزاء به مراعى بعدم تيسر من يؤدي عنه  بالعمل التام، فمتى تيسر كان اللازم الإتيان به.
","الحكيم"
"2236",251,"
									   ماحكم صلاة الليل اثناء السفر؟ هل تسقط او تصلى؟
","
									   لا تسقط نافلة الليل في السفر بل هي مستحبة للمسافر والحاضر وتسقط نافلة الصلاة المقصورة النهارية.
","الحكيم"
"2237",252,"
									   هل جائز قولنا في الأذان الشهادة الثالثة أشهد أن عليا وابناءه المعصومين حجج الله ، و هل جائز قولنا في الركوع و السجود بعد الذكر و الصلاة على الرسول و آله و عجل فرجهم و العن أعداءهم.
","
									   نعم يجوز ذلك في الاذان باعتبار رجحان هذه العبارة وكونها شهادة بحق ، كما يجوز الدعاء المذكور في الركوع والسجود.
","الحكيم"
"2238",253,"
									   هل يجب رفع اليدين حال تكبيرة الإحرام ؟
","
									    لا يجب ذلك .
","الحكيم"
"2239",254,"
									   هل يجوز السجود على النبات من غير اضطرار ؟ وبالأخص الحشيش والثيل ؟ وهل يجوز السجود على التربة التي اسودَّت من دهن البشرة من كثرة السجود عليها ؟ وما حجم الجبهة الواجب السجود عليها ؟
","
									    يجوز السجود على النبات غير المأكول والملبوس كالحشيش والثيل ، والسجود على التربة المسودة من دهن البشرة ، إذا لم يكن حاجباً فلا مانع منه ، ومقدار الجبهة مسماها ولو قليلاً ، ويكفي متفرقاً غير مجتمع ، كالسجود على الحصى الناعمة ، أو السبخة ، أو الطين ، ونحو ذلك .
","الحكيم"
"2240",255,"
									   تتراكم الأتربة والغبار والعرق على التربة ، ويصبح لونها أسود ، فهل يصح السجود على التربة عندئذ ؟
","
									   يجوز السجود عليها ما دام يصدق عليها اسم التراب ، فإذا صار عليها جرم حائل من العرق والأوساخ وجب إزالته ، أو السجود على شيء آخر مما يصح السجود عليه .
","الحكيم"
"2241",256,"
									   هل يجوز السجود على التربة الحسينية من الجهة المنقوش عليها ؟
","
									    يجوز ذلك ما دامت النقشة أو الكتابة من التراب .
","الحكيم"
"2242",258,"
									   أنا كثير النسيان ، وغالباً ما أصلي وأنا ألبس جلدا مدبوغاً من دولة أجنبية سهواً مني ، وأضطرّ لأن أعيد الصلاة ، وقال لي أحدهم أنه لا يجب أن أعيد الصلاة إذا كنت كثير النسيان ، فما هو الحكم بالضبط ؟
","
									   لا تجب عليك الإعادة ما دمت ناسياً .
","الحكيم"
"2243",263,"
									    ما المقصود بصلاة النوافل الرواتب ؟ 
","
									   هي النوافل التابعة للفرائض والمرتبة في اليوم والليلة ، وهي نافلة الظهرين ، ونافلة المغرب ، والوتيرة ، وصلاة الليل ، ونافلة الفجر .
","الحكيم"
"2244",265,"
									   كم هو الفرق الزمني بين طلوعي الفجرين الكاذب والصادق ولو بصورة تقريبية ، هل هو ربع ساعة أو ثلث ساعة مثلاً ؟
","
									   ليس لذلك تحديد شرعي بل هو تابع للتجربة والاستقراء اللذين لا مجال لهما غالباً في زماننا هذا الذي يشيع فيه الكهرباء ، فلا يتيسر معه رؤية الفجر الصادق في أول طلوعه فضلاً عن الكاذب .
","الحكيم"
"2245",267,"
									   هل يجوز الاعتماد على جهاز التلفزيون من معرفة شروق الشمس وغروبها ؟
","
									   إذا أوجب العلم بذلك فهو جائز ، على أن التلفزيون إذا صدق فهو إنما يخبر عن منطقة خاصة كبغداد ولا يخبر عن جميع المناطق .
","الحكيم"
"2246",268,"
									   متى تبدأ فضيلة الظهر ومتى تنتهي ؟ ومتى تبدأ فضيلة العصر ومتى تنتهي ؟ وماذا يفعل الإمام إذا كان في المصلين قلة أو كثرة من يصلي نوافل الظهر والعصر ؟
","
									   تبدأ فضيلة الظهر من أول الزوال وتنتهي ببلوغ ظل الإنسان قدمين ( سبعي الشاخص ) وتبدأ فضيلة العصر من نهاية فضيلة الظهر إلى بلوغ الظل أربعة أقدام ( أربعة أسباع الشاخص ) ، وقد ذكرنا في رسالتنا ( منهاج الصالحين ) أن الجزم بأوقات الفضيلة غير متيسر لنا ، وأنه يحسن العمل على ذلك برجاء المطلوبية مراعاة للاحتمالات البعيدة .
","الحكيم"
"2247",271,"
									   هل يجوز الصلاة عند غروب أو الشروق أو زوال الشمس ؟ وما صحة هذا الحديث   ( يكره الصلاة في طلوع الشمس وغروبها ، لأن الشمس تطلع على قرني إبليس وتغرب على قرني إبليس ) ؟
","
									    هذه المسألة خلافية بين الفقهاء ، ونحن لم يثبت عندنا كراهة الصلاة في الأوقات المذكورة .
","الحكيم"
"2248",276,"
									   هل يجوز جمع النوافل لتصلى جميعاً في وقت آخر ، أي جمع الثمان ركعات قبل الظهر والثمان ركعات قبل العصر لتصلى جميعاً بعد أداء صلاة العشاء ونوافلها ؟ وهل يجوز تأخير نافلة الظهر لتصلى بعد صلاة الظهر ؟ وهل يجوز تأخير نافلة العصر لتصلى في الفترة بعد صلاة العصر وقبل صلاة المغرب ؟ وإذا كان على المؤمن قضاء صلاة فائتة أو نحوها فهل يجوز له أداء ذلك القضاء في الفترة بعد صلاة العصر وقبل صلاة المغرب ؟
","
									    نعم يجوز جمع الصلوات في الأوقات المذكورة لكنها تكون قضاءً لا أداءً .
","الحكيم"
"2249",279,"
									   ما حكم الاعتماد على برنامج جوجل ايرث ( google Earth ) في تحديد اتجاه القبلة ؟ والذي يعمل بواسطة الأقمار الصناعية ، علماً بأنه تم اختباره على المراقد المقدسة للمعصومين ( عليهم السلام ) فوجدت أنها متجهة إلى الكعبة المشرفة بنسبة ( 100% ) ، وهل يجب العمل به في حال وجد انحراف باتجاه القبلة عمَّا هو معمول به ؟
","
									   إذا أوجب العلم باتجاه القبلة صح الاعتماد عليه ، وإلا وجب العمل على الحجج الشرعية ، ومنها القبلة المعمول بها في مساجد المسلمين ومقابرهم ، إلا مع العلم بخطأ تلك القبلة ، والجهل بالجهة الحقيقية ، فيجوز الاتجاه للجهة العرفية التي لا يخل بها الفارق القليل ، فيتخير بين جميع نقاطها التي يحتمل وقوع القبلة الحقيقية فيها ، ولا يجب معه تكلُّف تحصيل العلم بالقبلة الحقيقية ولا المداقّة في ذلك .
فمثلاً لو علم ببناء مسجد أو مكان على القبلة الحقيقية لم يجب عليه الصلاة فيه ، بل يجزيه الصلاة في مكان آخر متوجهاً لجهة القبلة العرفية .
","الحكيم"
"2250",280,"
									   كيف يصلي الإنسان في الطائرة أو السيارة الكبيرة إذا لم يتوقف السائق وقت الصلاة ؟ هل يصلي واقفاً أو من جلوس ؟ وما هو مقدار الاستقبال الواجب ؟
","
									   يصلي بما يقدر عليه ، الأقرب للواجب الاختياري فالأقرب .
","الحكيم"
"2251",284,"
									    ما حكم بطانة السترة أو المعطف أو أي لباس رجالي إن كانت منسوجة من الحرير الخالص ؟
","
									    الأحوط وجوباً تجنبه إذا كان معدوداً من الملبوس عرفاً ، كما ذكرناه في المسألة (70) من كتاب الصلاة من ( منهاج الصالحين ) .
","الحكيم"
"2252",285,"
									   ما حكم المنديل الموضوع في جيب السترة أو المعطف الرجالي العلوي ؟ وذلك لغرض الزينة إن كان مصنوعاً من ( الحرير الخالص ) ؟ مما يشك بكونه حريراً خالصاً رغم الكتابة عليه بأنه من الحرير الخالص .
","
									    لا بأس به فضلاً عما بعده ، كما يظهر مما ذكرناه في المسألة (69) و(72) من كتاب الصلاة من ( منهاج الصالحين ) .
","الحكيم"
"2253",287,"
									   مؤمن يظن أن الحزام الذي يرتديه مصنوع من جلد صناعي ، فهل يجب عليه خلعه عند الصلاة ؟ وكذلك الحال بالنسبة لحزام الساعة اليدوية ؟
","
									   لا يجب خلعه .
","الحكيم"
"2254",288,"
									   هل يجوز حمل المحفظة ( محفظة النقود ) أثناء الصلاة إذا كانت مصنوعة من الجلود الواردة من البلاد غير الإسلامية ؟
","
									    الأحوط وجوباً عدم حملها .
","الحكيم"
"2255",289,"
									   هل يجوز حمل المحفظة ( محفظة النقود ) أثناء الصلاة إذا كانت مصنوعة من الجلود الواردة من البلاد غير الإسلامية ؟
","
									   
","الحكيم"
"2256",291,"
									   لو استدان مبلغاً لشراء ثوب ثم وفى الدين من مال محقوق أو مغصوب ، فهل تصح الصلاة في هذا الثوب ؟
","
									    نعم تصح الصلاة .
","الحكيم"
"2257",294,"
									   هل تجوز الصلاة في مطبخ البيت ؟
","
									    تكره الصلاة في المطبخ .
","الحكيم"
"2258",296,"
									    مؤمن أخذ ( تربة ) من مسجد الكوفة دون إذن ، فهل يجوز له استعمالها في الصلاة ؟ وبماذا تنصحوه أن يفعل ؟
","
									    يجب عليه إرجاعها لمحلها الذي أخذها منه ، ولا يصح منه الصلاة عليها في غير المكان الذي أخذت منه ، نعم إذا صلى عليها غافلاً عن ذلك صحت صلاته .
","الحكيم"
"2259",297,"
									   نرجو من سماحتكم بيان حكم الكتابات والنقوش على تربة الصلاة ، ففيها أسماء الله تبارك وتعالى ، أو أسماء الأئمة ( عليهم السلام ) وهكذا ، علماً أن هذه الكتابات أو النقوش هي تراب أيضاً وليس بطريقة أخرى .
","
									    تجوز الكتابة المذكورة ، ويجوز السجود على التربة الحاوية لتلك الكتابة ، نعم يتأكد لزوم احترام التربة من أجل حرمة الأسماء المذكورة .
","الحكيم"
"2260",300,"
									   هل جائز قولنا في الأذان الشهادة الثالثة أشهد أن عليا وابناءه المعصومين حجج الله ، و هل جائز قولنا في الركوع و السجود بعد الذكر و الصلاة على الرسول و آله و عجل فرجهم و العن أعداءهم.
","
									   نعم يجوز ذلك في الاذان باعتبار رجحان هذه العبارة وكونها شهادة بحق ، كما يجوز الدعاء المذكور في الركوع والسجود.
","الحكيم"
"2261",301,"
									   إذا جمع الإنسان بين الظهر والعصر ، أو بين المغرب والعشاء ، فهل يسقط عنه الأذان للفريضة الثانية ، وهل يكون سقوطه عزيمة أو رخصة ؟ ثم إذا فصل بين الفريضتين بدعاء قصير أو بمثل تسبيح الزهراء ( عليها السلام ) فهل يؤذن للصلاة الثانية ؟
","
									   مع الجمع بين الفريضتين يسقط الأذان للثانية ، ويجتزأ لها بأذان الأولى ، وفي مشروعية الأذان لها إشكال ، فمن أراد الإتيان به لا بُدَّ له من أن ينوي الإتيان به برجاء المشروعية من دون جزم بها ، ولا يخل بالجمع بين الفريضتين التعقيب القليل للفريضة الأولى بمثل تسبيح الزهراء ( عليها السلام ) ونحوه .
","الحكيم"
"2262",303,"
									   هل يجوز أن يقول المؤذن في الأذان   ( أشهد أن الجنة حق ، وأن النار حق ، وأن الله يبعث من في القبور ) ؟
","
									    نعم يجوز ذلك ، لكن لا بقصد الجزئية من الأذان ، بل بقصد أنها شهادة حق من الدين .
","الحكيم"
"2263",304,"
									   هل أن فصول الأذان من العبادات التوقيفية ؟
","
									   نعم ، فصول الأذان من العبادات التوقيفية ، لكن يجوز الإتيان ببعض العبادات مع الأذان من دون قصد الجزئية منه ، كالصلاة على النبي ( صلى الله عليه وآله وسلم ) عند ذكره ، وكالشهادة الثالثة .
","الحكيم"
"2264",307,"
									   كيفية النية في صلاة الزيارة لاحد المراقد المطهرة؟
","
									   لا يجب في النية التلفظ بمؤداها بل موقعها النفس كما انها لا تحتاج الى تكلف واستحضار بل يكفي حصولها بمقتضى طبع المكلف وارتكازه بحيث لو سئل لأجاب بأني اريد صلاة الزيارة قربة لله تعالى.
","الحكيم"
"2265",308,"
									    هل يجوز الجهر بنية الصلاة ، وإذا كان الجواب   لا يجوز ، فماذا يترتب على من كان يجهر بها ؟
","
									    يجوز ذلك ، ولا يجب ، فإن موقع النية هو النفس ، كما أنها لا تحتاج النية إلى تكلف واستحضار ، بل يكفي حصولها بمقتضى طبع المكلف وارتكازه ، بحيث لو سئل لأجاب بأني أصلي قربة لله تعالى .
","الحكيم"
"2266",309,"
									   أختي كانت تنوي الصلاة هكذا   نويت أصلي صلاة ( الظهر ) - مثلاً - قربة طاعة إلى الله تعالى ، والله أكبر ، تقول   ( و ) قبل تكبيرة الإحرام ، هل صلاتها صحيحة ؟
","
									    تصح صلاتها وعليها الامتناع من ذلك فيما بعد.
","الحكيم"
"2267",310,"
									   لو نوى في قلبه أنها الظهر - مثلاً - وفي لسانه غيرها فما الحكم ؟ 
","
									   لا أثر للسان .
","الحكيم"
"2268",312,"
									   من لا يتمكن على القيام بمفرده حال الصلاة هل يجب عليه الاستعانة بمن يقيمه ؟ وهل يجب عليه الاستئجار في حال عدم وجود المتطوع ؟
","
									    مع عدم التمكن من القيام ولو معتمداً على عصا ونحوه تجوز الصلاة جلوساً ، ولا يجب استئجار من يقيمه .
","الحكيم"
"2269",314,"
									   الشخص المذكور هل يجوز له الاعتماد على رجله الاصطناعية في أثناء القيام في صلاته ؟ 
","
									   نعم يجوز له ذلك .
","الحكيم"
"2270",317,"
									   هل يجوز السجود على النبات من غير اضطرار ؟ وبالأخص الحشيش والثيل ؟ وهل يجوز السجود على التربة التي اسودَّت من دهن البشرة من كثرة السجود عليها ؟ وما حجم الجبهة الواجب السجود عليها ؟
","
									    يجوز السجود على النبات غير المأكول والملبوس كالحشيش والثيل ، والسجود على التربة المسودة من دهن البشرة ، إذا لم يكن حاجباً فلا مانع منه ، ومقدار الجبهة مسماها ولو قليلاً ، ويكفي متفرقاً غير مجتمع ، كالسجود على الحصى الناعمة ، أو السبخة ، أو الطين ، ونحو ذلك .
","الحكيم"
"2271",318,"
									   تتراكم الأتربة والغبار والعرق على التربة ، ويصبح لونها أسود ، فهل يصح السجود على التربة عندئذ ؟
","
									   يجوز السجود عليها ما دام يصدق عليها اسم التراب ، فإذا صار عليها جرم حائل من العرق والأوساخ وجب إزالته ، أو السجود على شيء آخر مما يصح السجود عليه .
","الحكيم"
"2272",319,"
									   هل يجوز السجود على التربة الحسينية من الجهة المنقوش عليها ؟
","
									    يجوز ذلك ما دامت النقشة أو الكتابة من التراب .
","الحكيم"
"2273",321,"
									   ماحكم اشباع الحركات الثلاث الى حد تكون  الحركة حرفا مثل (فصل لربك وانحر) فتقرأ بالاشباع (فصلي لربك وانحر) ؟
","
									    الزيادة عمداً في السورة مبطل للصلاة، ولو كان ذلك حرفاً او حركةً من القراءة والواجب من القراءة ان تكون على النهج العربي فلا يجزئ الملحون. 
","الحكيم"
"2274",322,"
									   ما حكم قراءة القرآن بإحدى القراءات السبع أو العشر المعروفة؟
","
									   يتخير المكلف في القراءة بين القراءات المشهورة المتداولة في زمان الأئمة (عليهم السلام) وإن كان الأولى اليوم القراءة على ما هو المثبت في المصاحف المشهورة بين المسلمين.","الحكيم"
"2275",323,"
									    إذا قرأ أو ذكر بالوجه غير الصحيح ، معتقداً صحته جهلاً أو نسياناً ، ولم يلتفت إلا بعد مضي محل التدارك ، أجزأه ما وقع وصحت صلاته ؟
","
									   ما دام لم يركع يجب عليه تداركه لو التفت إليه .
","الحكيم"
"2276",324,"
									   بعض الناس لا يعرفون القراءة ، فما هو حكم صلاتهم وأعمالهم ؟
","
									   يجب على المكلف أداء الصلاة وسائر العبادات بالمقدار المتيسر له ، بحسب ما آتاه الله من قدرة على التعلم ( ولو من خلال السؤال الشفهي إذا عجز عن القراءة ) ، و  
( لا يكلف الله نفساً على وسعها ) .
","الحكيم"
"2277",325,"
									   هل يشترط في كلمة ( ولا الضالين ) في الصلاة الواجبة وضع اللسان في مكان معين حتى تخرج الضاد على النهج الصحيح ؟ وهل هو مطلوب منا في نطق كلمة الضالين والظالمين بأن نفرق بينهما ؟ وهل كل منهما يشترط فيه وضع اللسان في مكان معين ؟
","
									   لا يشترط وضع اللسان في مكان معين ، نعم لا بُدَّ من الفرق بين الضاد والظاء في النطق ، فإنهما وإن كانا من سنخ واحد ، إلا إن الظاء مسهلة والضاد مفخمة ، ويكون خروجها دفعياً ، نظير خروج الدال والطاء ، لكن مع المحافظة على مشابهتها للظاء في النطق والصورة والسنخ .
","الحكيم"
"2278",326,"
									   هل يجوز قول   ( صدق الله العلي العظيم ) بعد إكمال سورة الفاتحة أو السورة التي بعدها في الصلاة الواجبة أو المستحبة ؟
","
									   نعم يجوز ذلك ، ولكنه ليس بمستحب ، والمستحب الوارد عن أهل البيت ( عليهم السلام ) قول   
( الحمدُ لله رب العالمين ) ، فالأولى الاقتصار على ذلك .
","الحكيم"
"2279",327,"
									    إذا جهر المصلي في موضع الإخفات ساهياً ، ثم أعاد ما قرأ ، فهل يلزمه سجود السهو ؟
","
									   لا يجب .
","الحكيم"
"2280",328,"
									   هل يجوز للشخص قراءة القرآن وهو يجهل أحكام القراءة والقواعد اللازمة في القراءة ؟
","
									   نعم يجوز أن يقرأ القرآن لنفسه .
","الحكيم"
"2281",329,"
									    هل تجزي قراءة سورة الفاتحة في الركعتين الأخيرتين سهواً ؟
","
									   تجزي مع العمد والالتفات إلى كون المقروء سورة الفاتحة ، لأن المكلف مخير بينها وبين الذكر ، كما ذكرناه في رسالتنا .
","الحكيم"
"2282",330,"
									   ورد في فصل القراءة من كتاب الصلاة من فتواكم ( أن البسملة جزء من السورة ) ، بينما تقول المسألة (193)   ( لا تجوز قراءة البسملة في الفريضة بنية الجزئية في الصلاة إلا بنية تعيينها لسورة خاصة ) ، أرجو توضيح ذلك ؟
","
									   المقصود من ذلك أن البسملة جزء من كل سورة بعينها ، فلا بُدَّ من قصد السورة التي قُرِئَت لها البسملة ، ولا يجوز قراءة البسملة من دون تعيين ، ويكون تعيين السورة بعد قراءة البسملة .
","الحكيم"
"2283",331,"
									   ما علة قول ( كذلك اللهُ ربي ) بعد سورة ( الإخلاص ) ؟
","
									   هذا ثناء على الله عزَّ وجل ، ورد الحديث عن المعصومين به ، فنحن نأتي به تسليماً لهم وتصديقاً لحديثهم ( عليهم السلام ) .
","الحكيم"
"2284",333,"
									    شخص يقرأ القرآن ويخطأ أحياناً أخطاء لفظية ، فهل واجب على من يسمعه أن يصحح له الخطأ ؟ علماً أن القارئ أكبر سناً من المستمع .
","
									   لا يجب تصحيح الخطأ ، ولكنه أفضل ، وليكن بصيغة الاحترام المناسب لكبر السن .
","الحكيم"
"2285",336,"
									   وما الفائدة العملية في الخلاف ؟
","
									   قد تظهر الفائدة فيما إذا حصل السجود بالمعنى المصدري من دون نية واستمر في السجود بالمعنى الاسم المصدري عن نية ، فإن كان السجود الواجب هو السجود بالمعنى المصدري فلا يجزي ذلك ، وإن كان هو السجود بالمعنى الاسم المصدري فهو مجزئ .
","الحكيم"
"2286",337,"
									    هل السجود اسم مصدر أو مصدر ؟
","
									   يختلف استعماله .
","الحكيم"
"2287",338,"
									    ما حكم من يقول في تشهده أثناء الصلاة ( وأشهد أن علياً ولي الله ) ؟
","
									    إذا كان جاهلاً فصلاته الماضية صحيحة ، وعليه ترك ذلك فيما بعد .
","الحكيم"
"2288",342,"
									    بناء على القول بجواز الإتيان بالقنوت بعد الركوع في حال نسيانه ، فهل يجوز أن يؤتى بتكملته في حال نسيان التكملة بعد الركوع ؟ خصوصاً في القنوتات المحددة بصيغ خاصة كالوتر والغفيلة ؟
","
									   الإتيان بالتكملة غير مشروع .
","الحكيم"
"2289",343,"
									    ما هو حكم التقدم على ضريح الإمام المعصوم ( عليه السلام ) في الصلاة الواجبة والمستحبة ، سواء قبل وقتها أو بعده ؟
","
									    لا يجوز ذلك ، إلاّ من الجانبين عن سمت القبر الشريف ، بحيث لا يصدق عرفاً أن القبر خلف المصلي .
","الحكيم"
"2290",346,"
									    إذا سلم أحد من أهل البدعة والسفارة هل يجب ردّ السلام ؟ 
","
									   إذا لم يخرج عن حد الإسلام يجب رد السلام .
","الحكيم"
"2291",347,"
									    يظهر في جهاز التلفزيون أحياناً مذيع نشرة الأخبار ويلقي السلام الشرعي على مشاهديه ، فهل يجب على المشاهد رد السلام عليه ؟
","
									   لا يجب .
","الحكيم"
"2292",348,"
									    إذا رأيتُ  أو سمعتُ أحداً أخطأ في صلاته ، أو صلى صلاة ونسي الواجب أو المستحب ، هل يجب عليّ تنبيهه على خطئه ؟
","
									   لا يجب عليك تنبيهه ، إلا إذا كان يعتمد عليك في معرفة أحكامه الشرعية .
","الحكيم"
"2293",354,"
									   هل يجب رفع اليدين حال تكبيرة الإحرام ؟
","
									    لا يجب ذلك .
","الحكيم"
"2294",362,"
									    ما حكم الشخص الذي وصل إلى سن الهرم ( الخرف ) ؟ هل تسقط عنه الصلاة حالياً ؟ وبعد موته يجب على الولد الأكبر قضاء ما فات عن أبيه ؟
","
									   إذا لم يعقل الصلاة فلا صلاة عليه ، ولا قضاء عليه ، ولا على وليه .
","الحكيم"
"2295",363,"
									    إذا مات الأب وكان تارك للصلاة طيلة حياته ، وكان يشرب الخمر ، ويعمل الكبائر ، هل واجب على ولده أن يقضي ما فات الأب من صلاة وصيام ... إلخ ؟
","
									   لا يجب ذلك إذا لم يكن الأب بصدد القضاء ، ومات على ذلك .
","الحكيم"
"2296",364,"
									   يجب على ولي الميت قضاء ما فات والده من صلاة وصيام ، ولو تعدد الولي اشتركا ، وإن تحمل أحدهما كفى عن الآخر ، فلو كان للميت وليان وكان على الميت صلاة شهرين ، فقام الأول بقضاء شهر ، ولم يقض الثاني فهل يجب على الأول قضاء ما لم يقضه أخوه ؟
","
									   نعم يجب عليه القضاء ، لأنه واجب كفائي .
","الحكيم"
"2297",367,"
									   مع عدم وجود الذكر هل تبرئ ذمة الأنثى ؟
","
									    نعم ، لا يجب القضاء على الأنثى .
","الحكيم"
"2298",371,"
									   هل أن قراءة القرآن وإعطاء الصدقات ( الخير ) إلى المساكين واليتامى بقصد الثواب إلى موتانا يصل إليهم ثوابها ؟ وهل الثواب أو الحسنات يضاف إلى حسناتهم ويضاعف لهم ؟ وهل الأدعية التي تقرأ بقصد الثواب لهم يحسب لهم ؟ مع العلم أن الميت ( والدة ) كانت لا تعرف الكتابة والقراءة ، وكانت تصلي وتصوم رغم مرضها المزمن .
","
									   نعم يصل إليها ثواب الأعمال المذكورة .
","الحكيم"
"2299",372,"
									   هل يصح استئجار شخص لصلاة القضاء اذا كان جزء من كفه مقطوعاً ؟
","
									   لا تبرأ ذمة المنوب عنه بعمل النائب إذا كان اضطرارياً، كما  لو كانت وظيفته التيمم أو الطهارة الجبيرية أو الصلاة من جلوس أو نحوها، إلا  مع الاضطرار، بان لا يكون هناك من يؤدي عنه بعمل اختياري تام، ولو حصل  ذلك وجيء بالعمل الاضطراري فالاجتزاء به مراعى بعدم تيسر من يؤدي عنه  بالعمل التام، فمتى تيسر كان اللازم الإتيان به.
","الحكيم"
"2300",375,"
									   ما هو حكم صلاة الجماعة خلف إمام يصلي قَصراً ؟
","
									    تجوز وتصحّ الجماعة .
","الحكيم"
"2301",378,"
									   في صلاة الجماعة في المسجدين الشريفين يصعد بعض الناس إلى الطابق الأعلى ويأتمون بالإمام من هناك ، مع أنهم لا يرون شيئاً من صفوف الجماعة ولا الإمام ، فهل يجوز الائتمام من هناك ؟ وهل الحكم يشمل كل صلاة جماعة حتى خلف الإمامي ؟ وفي الحالات الاعتيادية ؟
","
									   في صحة الائتمام من العلو المذكور إشكال ، والمتيقن من ذلك العلو غير المفرط الذي لا يخلّ بوحدة المكان .
","الحكيم"
"2302",379,"
									   هل تجوز الصلاة فرادى في مكان تقام فيه الجماعة ؟ وهل يختلف الحكم بين ما إذا عرف المصلي أن الإمام جامع للشرائط ؟ أو جهل حاله بحيث أصبح من غير الجائز له الائتمام به لكونه مجهول الحال بالنسبة له ؟ وهل يختص الحكم بالمسجد ؟
","
									   نعم تجوز الصلاة فرادى في جميع الأحوال المذكورة في السؤال .
","الحكيم"
"2303",380,"
									   وهل يجب على الإمام الإخبار إذا كان علمه بالبطلان بعد الصلاة أو في أثنائها ؟
","
									   لا يجب الإخبار .
","الحكيم"
"2304",390,"
									   هل عندكم أن إمام الجماعة يجب أن لا يكون أعرابياً ، أي من سكان البوادي ، حتى لو كان مؤمناً موثقاً في دينه ؟
","
									   إذا كان متفقهاً في الدين عارفاً بأحكامه فلا يجري عليه حكم الأعرابي ، بل يجوز أن يؤم المهاجرين حينئذ ، وهم المتفقهون في الدين من أهل المدن ، على ما ذكرناه في رسالتنا العملية ( منهاج الصالحين ) .
","الحكيم"
"2305",391,"
									   هل يشترط عند صلاة الجماعة إحراز عدالة الإمام ؟ وكيف يتم إحرازها ؟
","
									   لا بُدَّ من إحراز عدالة الإمام حين الصلاة خلفه ، والإحراز يكون إما بالبينة أو بالمعاشرة الموجبة للعلم بالعدالة ، أو بحسن الظاهر لظهور الخير منه وعدم ظهور الشر لمن يخالطه ويعاشره .
","الحكيم"
"2306",392,"
									   هل يجوز للمكلف أن يكون إمام جماعة في صلاة الجماعة بدون إجازة أو توثيق أو إذن من الحاكم الشرعي ؟
","
									   نعم يجوز ذلك إذا كان عادلاً ملتزماً .
","الحكيم"
"2307",393,"
									   هل يجوز للمكلف مع عدم إحرازه لعدالة نفسه أو تأكده من عدمها أن يتصدى للأشياء المشروطة بالعدالة ؟ كإمامة الجماعة والشهادة عند القاضي ؟
","
									   لا يجوز له التصدي والسعي لإمامة الجماعة ، نعم إذا صلّوا خلفه من دون أن يتصدى هو لذلك لم يجب عليه منعهم ، وتجوز الشهادة إذا علم من نفسه الصدق .
","الحكيم"
