"","X.1","Question","Answer","Speaker","Words_Q","Words_A"
"2395",1730,"
									   Is there any concept of adult breastfeeding in Islam, so that the person becomes Mahram?
								","
									   The breastfeeding that makes the person Mahram is for children under the age of two. After the age of two years, breastfeeding has no such effect.
What has been reported in some books of such an effect from women breastfeeding adult men has no basis in Islam.
								","Hakeem","women","women"
"2396",1731,"
									   Is it allowed for Muslim women to marry Christian Men?
								","
									   No, it is not permissible for a Muslim woman to marry a Christian man.
								","Hakeem","woman","woman"
"2397",1732,"
									   I am a Shia Muslim girl living in Europe and I am interested in a Christian co-worker. Can I engage in temporary marriage with him, even if it is without consummation?
								","
									   It is not permissible for a Muslim woman to marry a non-Muslim man, even in temporary marriage. You can present Islam to him and if he accepts it and becomes a Muslim by reciting the two testimonies, you can then marry him. Otherwise, it is absolutely impermissible to marry him.
								","Hakeem","woman,marriage","woman,marriage"
"2398",1733,"
									   What is the ruling on a man who was non-Muslim, but converts to Islam because he wants to marry a Muslim woman?
								","
									   If he declares the two testimonies without the acknowledgment of its meanings and without commitment to them in such a way that he does not see himself, because of this, as a Muslim, then he is not considered as one and the marriage to him is invalid. If his testimony was with the acknowledgment of its meanings and commitment to them in such a way that he considers himself to be a Muslim, then he is one and the marriage with him is valid.
								","Hakeem","marriage,marriage","marriage,marriage"
"2399",1734,"
									   Is it permissible to marry a man who believes in a Creator but does not necessarily identify as a follower of any religion?
								","
									   Such a marriage is not valid.
								","Hakeem","marriage","marriage"
"2402",1737,"
									   I know that a Muslim man can marry a Christian woman as long as the children are Muslims. But are there not any other rules that the man and woman must follow before they are allowed to marry?
								","
									   Marrying a Christian woman is allowed but it is better to choose a Muslim wife when possible.The father is obligated to raise the children properly in such a way that they become believers, perform the obligatory deeds and avoid committing the prohibitions. It is better to choose correct and effective ways in their upbringing so they may be more inclined towards the true religion. Almighty Allah says  ""O ye who believe! Ward off from yourselves and your families a Fire whereof the fuel is men and stones.""(Quran 66 6).
								","Hakeem","woman,wife","woman,wife"
"2403",1738,"
									   Is it possible to have a permanent marriage with a follower of the Christian faith, or is only temporary marriage permissible with them?
								","
									   It is permissible to marry a Christian wife temporarily and permanently. Marrying her permanently is invalid without the permission of the Muslim wife if he is married to one.
								","Hakeem","wife,wife","wife,wife"
"2404",1739,"
									   I live in an area where the majority are Christians, I made a Mutah contract with a woman without asking her if she is Ahlul kitab or not, and I also consummated the marriage. Have I committed a sin? If I have, is it a major one?
								","
									   If there is doubt in her religion, whether it is Christianity or not, then one must make sure that it is religiously acceptable to marry a woman from such a religion. If the marriage contract took place without checking the religion and it was not religiously permitted, then this act is prohibited and considered as adultery.
								","Hakeem","woman,marriage,adultery","woman,marriage,adultery"
"2405",1740,"
									   I entered into temporary marriage with a Christian lady not knowing that she is separated from her husband and not officially divorced. She could not get divorce because in that country it is a very expensive court matter which she could not afford. Is my marriage contract valid given that she is officially not divorced yet?
								","
									   If she was considered married in her religion, then it is prohibited to marry her. She becomes permanently prohibited for you if your marriage to her is consummated. If she was considered divorced in the Christian faith, then it is permissible to marry her.
								","Hakeem","marriage,divorce","marriage,divorce"
"2407",1742,"
									   After a Muslim couple has separated for a long period of time, is it permissible for the husband to marry, temporarily or permanently, a woman from Ahlul-Kitab without the knowledge of his Muslim wife? Or does he require her permission?
								","
									   It is permissible to permanently marry a woman from the People of the Book with the consent of the Muslim wife and not without it, even if the Muslim couple has separated. If the marriage is temporary then the consent of the Muslim wife is not required.
								","Hakeem","woman,wife,marriage,wife","woman,wife,marriage,wife"
"2408",1743,"
									   If a non-practicing Muslim who reverted from Christianity converts back to Christianity at any time, will his marriage with his Muslim wife still be valid?
								","
									   If he leaves the Islamic faith, then this invalidates the marriage.
								","Hakeem","marriage","marriage"
"2409",1744,"
									   Does a Christian woman need to still take divorce from her Christian husband once she becomes Muslim?
								","
									   If she embraced Islam but her husband did not, then her marriage has become null and void, and she can get married again after observing the waiting period (iddah).
								","Hakeem","marriage","marriage"
"2410",1745,"
									   If the wife renounces Islam, does she become automatically divorced? What if she chooses to follow one of the religions of the Ahlul-Kitab (People of the Book)? And what if she took to another religion?
								","
									   If she left the religion of Islam for one of the religions of the People of the Book, the marriage is still valid. If she chose another religion, then the marriage becomes nullified.
								","Hakeem","marriage,marriage","marriage,marriage"
"2411",1746,"
									   If a Christian woman converts to Islam and her husband does not, how long is her iddah? What if they both convert to Islam together?
								","
									   If the wife and the husband embraced Islam together, the marriage remains valid.If the wife embraced Islam before consummating the marriage but the husband did not, then the marriage contract is void. If she converted to Islam after consummating the marriage, then she should wait for the duration of the iddah. If the husband converts to Islam during the iddah period, then the marriage remains valid. If he did not convert at all, or he converted after the completion of the duration of iddah, then the marriage contract is void.The iddah in such a case is the same as the iddah of divorce, which is the period until she sees the beginning of her third menses.
								","Hakeem","wife,marriage,wife,marriage,marriage,marriage,marriage,marriage,divorce","wife,marriage,wife,marriage,marriage,marriage,marriage,marriage,divorce"
"2412",1747,"
									   Can a Sunni girl marry with a Shia man?
								","
									   Yes, she can, as both of them are Muslims, and Muslim women can marry Muslim men.
								","Hakeem","women","women"
"2413",1748,"
									   Is it permissible for a Shia lady to marry a Muslim non-Shia man?
								","
									   It is prohibited for a Shia lady to marry a follower of a misguided sect if there is fear for the lady's faith arising from such a marriage. It is permissible but disliked if the mentioned fear does not exist. It is prohibited based on compulsory precaution for a Shia girl to marry a Nasibi, whether the fear for the woman’s religion exists or not.
								","Hakeem","marriage,woman","marriage,woman"
"2414",1749,"
									   I am a Shia Sayyid. Is it allowed for me to get married to a Sunni girl?
								","
									   It is permissible for a Shia Sayyid man to marry a Sunni woman. It is better to have an expert in Shia religious rules to perform the marriage contract to make sure that it is legitimate and correct.","Hakeem","woman,marriage","woman,marriage"
"2415",1750,"
									   Can a Shia Sayyid girl get married to a new convert to Islam? Can she marry him if her father does not allow it?
								","
									   It is permissible for the Muslim woman, whether she was from a Sayyid family or not, to marry a Muslim man even if he used to follow another religion, but it should be with the consent of the father of the woman if she is a virgin.
								","Hakeem","woman,family,woman","woman,family,woman"
"2416",1751,"
									   If the husband and wife do not talk for 6 months or more is the marriage still valid?
								","
									   The marriage contract is not invalidated because the wife and the husband are not talking to each other, however long such a period may be.
								","Hakeem","marriage,wife","marriage,wife"
"2417",1752,"
									   Some people do not observe the Sharia, and as such, some women have a status of being divorced, albeit according to the courts of the land, and not according to the Sharia. In such an environment, can a man seek to marry a divorced woman, simply taking her word that she is divorced, or is he required to ascertain and ensure that she is divorced according to the Sharia?
								","
									   If the man anticipates that she is indeed divorced according to the Sharia, he can marry her. If he does not have this anticipation, he is not permitted to marry her; if he did marry her and later found out that her divorce was not according to the Sharia, she would be considered to be the wife of the previous husband.
								","Hakeem","divorce,divorce,wife","divorce,divorce,wife"
"2419",1754,"
									   If a man who is married to a Muslim wife, contracts temporary marriage with a Christian or Jewish woman without the knowledge or permission of his Muslim wife, will he have committed a sin?
								","
									   The marriage is correct and he has not committed a sin.
								","Hakeem","marriage","marriage"
"2420",1755,"
									   I got married to a woman by way of temporary marriage, and the woman recited the following formula  ""Jawwaztuka Nafsi fee muddatil ... ala Mahr ... "", and I replied  ""Qabiltu."" Is this sufficient?
								","
									   The said marriage contract is valid.
								","Hakeem","marriage","marriage"
"2421",1756,"
									   Can there be a divorce in temporary marriage?
								","
									   There is no divorce in temporary marriage. The husband can waive the remaining period of the contract. If he did, then she is no longer his wife.
								","Hakeem","divorce,marriage,wife","divorce,marriage,wife"
"2423",1758,"
									   Can a person have temporary marriage with another woman if his wife is away for more than a month?
								","
									   Yes, he is allowed, whether his wife is away or not.
								","Hakeem","wife","wife"
"2425",1760,"
									   If one contracts temporary marriage without specifying a dower, does it become void?
								","
									   If the contract was based on not considering the dower then it is void. If not mentioning the dower was due to oblivion, shyness or any similar reason then the marriage contract is correct and the husband must pay his wife a dower that is usually paid for a woman with similar characteristics and circumstances.
								","Hakeem","shy,marriage,wife,woman","shy,marriage,wife,woman"
"2426",1761,"
									   Does a wife have the right to stop her husband from having temporary marriage contract with another woman?
								","
									   The wife can ask the husband not to remarry again but it is not obligatory on the husband to accept her request.
								","Hakeem","wife","wife"
"2427",1762,"
									   Is it obligatory for the man to offer a dower for temporary marriage, even if they both agree on no dower?
								","
									   The temporary marriage without including the dower is invalid, so it must be stipulated even if it is a small amount. The wife can forgo it after the temporary marriage contract takes place.
								","Hakeem","marriage,wife,marriage","marriage,wife,marriage"
"2428",1763,"
									   My husband would like to have a temporary wife to fulfill certain urges. As a wife, do I have any right to say no?
								","
									   The refusal of the wife does not prevent a valid temporary marriage contract.
								","Hakeem","wife,marriage","wife,marriage"
"2429",1764,"
									   What is the waiting period of temporary marriage? Is it counted from the last time sexual intercourse took place? What if the woman never had sexual intercourse during the temporary marriage, must the waiting period still be observed?
								","
									   The waiting period is obligatory after the end of the stipulated duration of the temporary marriage if the marriage was consummated. The waiting period is not required if the marriage was not consummated (i.e. sexual intercourse did not take place). If the temporary marriage ended during the woman's menstruation period, then the waiting period is completed when her third menstrual period begins.If the temporary marriage ends when she is not in her menstrual period, she should wait for one complete cycle and her waiting period is finished when her second menstrual period begins.
								","Hakeem","marriage,marriage,marriage,marriage,woman,marriage","marriage,marriage,marriage,marriage,woman,marriage"
"2430",1765,"
									   Can a woman, who is in the Iddah of a temporary marriage, marry the same person temporarily again without waiting for the Iddah period to end?
								","
									   It is permissible to do so as long as she is still in the state of Iddah from him, as she is still considered as his wife.
								","Hakeem","wife","wife"
"2431",1766,"
									   Can a man contracts temporary marriage with a woman whose faith and religion is not known to him? Is it necessary for him to inquire about her faith and religion?
								","
									   It is permissible to marry a Muslim, a Christian or a Jewish woman temporarily. Marrying a woman who does not believe in one of these three religions is not permissible. It is necessary to make sure that she does believe in one of these religions before marrying her.
								","Hakeem","woman,woman","woman,woman"
"2432",1767,"
									   Is there a proper format or structure for a contract when arranging a temporary marriage other than agreeing on the amount of dower and setting a length of time for the marriage or is an informal verbal agreement between the two parties sufficient?
								","
									   The woman can say  ""I marry myself to you on a dower of so-and-so and for the duration of so-and-so."" and mention the amount of dower and the duration of marriage and then the man accepts by saying  ""I accept"". He can start the contract by saying  ""I marry you on a dower of so-and-so and for the duration of so-and-so"" the woman then accepts by saying  ""I accept"". This can be in any language.
								","Hakeem","woman,marriage,woman","woman,marriage,woman"
"2434",1769,"
									   I had temporary marriage with a girl, without specifying the dower, because she did not want any dower whether or not it was specified, and we engaged in sexual intercourse. Later I realized that it is necessary to specify a dower, otherwise the marriage is void and any sexual intercourse that has taken place is out of wedlock and considered adultery. We are extremely worried about this, as we did not intend to commit any sin. If we did this out of ignorance, is there any excusing us, or is there any kaffara to relieve ourselves from this?
								","
									   It is a condition in the temporary marriage contract to specify a dower. If the dower is not mentioned, the temporary marriage contract is invalid. If one was not aware of such a condition, sexual intercourse between them prior to becoming aware of this is not a sin and not considered as adultery.
								","Hakeem","marriage,marriage,adultery","marriage,marriage,adultery"
"2437",1772,"
									   Please explain to me the contract of temporary marriage (Mutah).
								","
									   Mutah is a marriage contract between a man and a woman where they agree on establishing a marital relationship with the stipulation of a dower, for a certain period of time. The said relation ends when the mentioned time elapses. Muslims have agreed on this legislation, but the second caliph prohibited it during his caliphate, and this became the reason for the differences in opinion on it, as history and jurisprudential books explained.
								","Hakeem","marriage,woman","marriage,woman"
"2438",1773,"
									   I was wondering what my duty is if I wanted to contract a temporary marriage with a Christian who does not know anything about the marriage. Must she say the Arabic, or can we say the marriage contract in English?
								","
									   She does not have to recite in Arabic if she cannot, but you must not marry her unless she realizes that the mentioned relation is a marriage contract with religious commitments.
								","Hakeem","marriage","marriage"
"2439",1774,"
									   Please explain to me the contract of temporary marriage (Mutah).
								","
									   Mutah is a marriage contract between a man and a woman where they agree on establishing a marital relationship with the stipulation of a dower, for a certain period of time. The said relation ends when the mentioned time elapses. Muslims have agreed on this legislation, but the second caliph prohibited it during his caliphate, and this became the reason for the differences in opinion on it, as history and jurisprudential books explained.
								","Hakeem","marriage,woman","marriage,woman"
"2440",1775,"
									   I want to know why temporary marriage is permissible.
								","
									   Muslims have unanimously agreed that temporary marriage was legislated by the Prophet (peace be upon him and his holy progeny). The second caliph stopped people from doing it during his rule at a famous incident. Since it was legislated by the Prophet, it remains lawful and valid. And this is what the followers of the Ahlul-bait (peace be upon him) and a group of the companions of the prophets (peace be upon him) believe.
								","Hakeem","marriage","marriage"
"2441",1776,"
									   Some Muslims object to the permissibility of temporary marriage. Can you please provide me with evidence to support its legality?
								","
									   There is no doubt that the temporary marriage is legislated. Proof is present in the Holy Book and the noble traditions of the Prophet (peace be upon him and his progeny) which are authenticated in the Sunni and Shia books. What happened after that is that the second Caliph prevented it and its prohibition then became widely accepted amongst the Sunni scholars. What indicates its legislation from the Holy Book is the following verse  â€œIt is a decree of Allah for you. Lawful unto you are all beyond those mentioned, so that you seek them with your wealth in honest wedlock, not debauchery. And those of whom you seek content (by marrying them), give unto them their portions as a duty."" (24 4) In the book of Nail Al-Awtar, Vol.6, Pg.270, it is mentioned that Ibn Abbas used to recite this verse and he used to add ""by a set time"" after ""And those of whom you seek content"" and this clearly explains the legislation of the temporary marriage. In this same book it is mentioned that Ibn Abbas stated that temporary marriage was a mercy that Almighty Allah has given to his slaves and if it was not the forbidding of Umar, no one would ever need to commit adultery.  In the book of Al-Muhalla, vol. 9, pg. 520, the author, Ibn Hazm, stated  ""The permissibility of temporary marriage after the time of the Prophet (peace be upon him and his progeny) was affirmed by a group of his companions like Asma, the daughter of Abu Bakr, Jabir bin Abdillah, Ibn Masoud, Ibn Abbas, Moawiyah bin Abi Sufyan ""The list continues on until he said  ""and most jurists of the holy city of Mecca"". From this, one can conclude that the disagreement started after the prohibition of Umar and not in its legislation itself.
								","Hakeem","marriage,marriage,marriage,adultery,marriage,daughter","marriage,marriage,marriage,adultery,marriage,daughter"
"2442",1777,"
									   I understand that temporary marriage is for pleasure. Does that mean that physical attraction and lust are permissible reasons to enter into such a contract, or are there other prerequisite motivations that one must have before two people can enter into this arrangement?
								","
									   It is permissible to enter into temporary marriage for the sake of pleasure and lust via legislated means and within religious guidelines. Among the benefits of temporary marriage is that it controls sexual relation between the two sexes within specific rules and guidelines; like specifying the duration of the marriage and the dower, serving the waiting period between one marriage and another, and the child born from such a matrimony being legitimate for the couple. There is no doubt that if such marriage was common in the society, committing adultery would be minimal.
								","Hakeem","marriage,marriage,marriage,marriage,marriage,adultery","marriage,marriage,marriage,marriage,marriage,adultery"
"2443",1778,"
									   Does a temporary marriage contract only become valid when the woman realizes that it is a marriage with religious commitments? Or is it not obligatory for the woman to realize this? As mentioning this may strongly cause some women to not wish to go forth with it anymore due to how serious it sounds. If the answer is yes, then can it be said in other words?
								","
									   If the two parties agreed on forming a marriage contract between them in such a way that the paid money is considered as dower like the permanent marriage, then the marriage is valid. If she understands that the relationship allows her to have sexual acts in return for a fee, then it is adultery. The same can be said if she understands the relationship as a form of friendship.
								","Hakeem","marriage,marriage,marriage,adultery","marriage,marriage,marriage,adultery"
"2444",1779,"
									   What does one do if one cannot get married at this time, and the only way to marry here is to approach somebody for temporary marriage through prohibited ways, like going to places of promiscuity?
								","
									   Temporary marriage is a legitimate way to refrain from doing adultery, but it is impermissible to use such non-religious ways to reach it. One who does not have the means to achieve it by a legitimate way, should have patience and dependence on Almighty Allah, as He said  â€œAnd whosoever puts his trust in Allah, He will suffice himâ€<U+009D> (65 3).
								","Hakeem","marriage,adultery","marriage,adultery"
"2445",1780,"
									   Marriage is recommended, but does this apply only to permanent marriage or to temporary marriage as well?
								","
									   Yes, it applies to the temporary marriage also, unless it involves another issue that would lead to the preference of not having the temporary marriage.
								","Hakeem","marriage,marriage","marriage,marriage"
"2446",1781,"
									   I got married to a woman by way of temporary marriage, and the woman recited the following formula  ""Jawwaztuka Nafsi fee muddatil ... ala Mahr ... "", and I replied  ""Qabiltu."" Is this sufficient?
								","
									   The said marriage contract is valid.
								","Hakeem","marriage","marriage"
"2448",1783,"
									   Is there a proper format or structure for a contract when arranging a temporary marriage other than agreeing on the amount of dower and setting a length of time for the marriage or is an informal verbal agreement between the two parties sufficient?
								","
									   The woman can say  ""I marry myself to you on a dower of so-and-so and for the duration of so-and-so."" and mention the amount of dower and the duration of marriage and then the man accepts by saying  ""I accept"". He can start the contract by saying  ""I marry you on a dower of so-and-so and for the duration of so-and-so"" the woman then accepts by saying  ""I accept"". This can be in any language.
								","Hakeem","woman,marriage,woman","woman,marriage,woman"
"2451",1786,"
									   If I know a female very well, may I explain to her the temporary marriage contract via chat and even tell her to recite the vows via chat?
								","
									   Explaining the temporary contract to her over the chat is permissible but conducting the marriage contract must be through direct voice conversation.
								","Hakeem","marriage","marriage"
"2456",1791,"
									   What is the ruling if the couple who is contracting temporary marriage forgets to mention the marriage period? If it becomes a permanent marriage, can they end the marriage with divorce? If so, what are the rulings in regards to witnesses and the Iddah?
								","
									   Yes, the marriage becomes permanent. The marriage is ended by divorce which requires two Adil men to witness it. The regular waiting period of Iddah of divorce must be observed if the marriage was consummated, but if the marriage was not consummated then there would be no need to observe the Iddah.
								","Hakeem","marriage,marriage,divorce,divorce,marriage,marriage","marriage,marriage,divorce,divorce,marriage,marriage"
"2457",1792,"
									   If I were to contract temporary marriage without specifying the time initially, but doing it afterwards because we were not sure of the duration at first, will the marriage still be valid?
								","
									   If the contract was done without specifying the time then the marriage becomes permanent, and the marriage can be ended by divorce and the obligations of divorce like Iddat and others should be observed.
								","Hakeem","marriage,marriage,divorce,divorce","marriage,marriage,divorce,divorce"
"2458",1793,"
									   Is a temporary marriage contract valid if there was no witness at the time the man and woman recited the contract formula?
								","
									   Yes, it is valid without witnesses, as it is not necessary in a marriage contract.
								","Hakeem","marriage","marriage"
"2460",1795,"
									   When a temporary marriage period has ended and the two want to extend it, can they do so without a new marriage contract?
								","
									   It is obligatory to have a new marriage contract after the end of the period of a temporary marriage contract that includes a dower and a duration.
								","Hakeem","marriage,marriage","marriage,marriage"
"2461",1796,"
									   A man contracted temporary marriage. His wife became pregnant. During this period, he contracted permanent marriage with the same woman. Is this permanent marriage valid?
								","
									   As long as the marriage duration has not ended, permanent marriage is not valid. She is still his wife by the temporary marriage. If this marriage expires or he ends it by forgoing the rest of the duration, then they can conduct a permanent marriage with the fulfillment of the rest of the conditions.
								","Hakeem","marriage,marriage,wife,marriage,marriage,marriage","marriage,marriage,wife,marriage,marriage,marriage"
"2462",1797,"
									   Is temporary contract valid by agreeing on the time period and dower only, without reciting the formula?
								","
									   The temporary marriage is not valid if the actual contract was not pronounced.
								","Hakeem","marriage","marriage"
"2463",1798,"
									   If one contracts temporary marriage without specifying a dower, does it become void?
								","
									   If the contract was based on not considering the dower then it is void. If not mentioning the dower was due to oblivion, shyness or any similar reason then the marriage contract is correct and the husband must pay his wife a dower that is usually paid for a woman with similar characteristics and circumstances.
								","Hakeem","shy,marriage,wife,woman","shy,marriage,wife,woman"
"2464",1799,"
									   Is it obligatory for the man to offer a dower for temporary marriage, even if they both agree on no dower?
								","
									   The temporary marriage without including the dower is invalid, so it must be stipulated even if it is a small amount. The wife can forgo it after the temporary marriage contract takes place.
								","Hakeem","marriage,wife,marriage","marriage,wife,marriage"
"2465",1800,"
									   I had temporary marriage with a girl, without specifying the dower, because she did not want any dower whether or not it was specified, and we engaged in sexual intercourse. Later I realized that it is necessary to specify a dower, otherwise the marriage is void and any sexual intercourse that has taken place is out of wedlock and considered adultery. We are extremely worried about this, as we did not intend to commit any sin. If we did this out of ignorance, is there any excusing us, or is there any kaffara to relieve ourselves from this?
								","
									   It is a condition in the temporary marriage contract to specify a dower. If the dower is not mentioned, the temporary marriage contract is invalid. If one was not aware of such a condition, sexual intercourse between them prior to becoming aware of this is not a sin and not considered as adultery.
								","Hakeem","marriage,marriage,adultery","marriage,marriage,adultery"
"2467",1802,"
									   I want to recite the contract formula for the temporary marriage via the telephone. Is it necessary to pay the dower to the wife at that time or can it be given later?
								","
									   The wife deserves the dower as agreed. If the agreement was that it is to be paid at the time of the contract, then it must be given then and when the wife asks for it. If they agree on delaying the payment, then it is permissible to delay it.
								","Hakeem","wife,wife","wife,wife"
"2468",1803,"
									   If my potential spouse and I have temporary marriage and I send her dower through courier service, would we have to wait until she receives the dower?
								","
									   It is obligatory to stipulate the dower in the marriage contract, and it does not affect the marriage if she did not receive it.
								","Hakeem","marriage,marriage","marriage,marriage"
"2470",1805,"
									   If temporary marriage was contracted for a week with a woman who was a traveler, and she travelled away the next day without notice, must her dowry be paid in full?
								","
									   If he asked her to be with him during the duration of the marriage and she refused, or he has previously stipulated this on her and she refused to act upon this, he is not liable to pay that portion of the dowry in proportion to the percentage of the time she was unavailable.
								","Hakeem","marriage,dowry","marriage,dowry"
"2471",1806,"
									   If a man who is married to a Muslim wife, contracts temporary marriage with a Christian or Jewish woman without the knowledge or permission of his Muslim wife, will he have committed a sin?
								","
									   The marriage is correct and he has not committed a sin.
								","Hakeem","marriage","marriage"
"2473",1808,"
									   Can a person have temporary marriage with another woman if his wife is away for more than a month?
								","
									   Yes, he is allowed, whether his wife is away or not.
								","Hakeem","wife","wife"
"2474",1809,"
									   Does a wife have the right to stop her husband from having temporary marriage contract with another woman?
								","
									   The wife can ask the husband not to remarry again but it is not obligatory on the husband to accept her request.
								","Hakeem","wife","wife"
"2475",1810,"
									   My husband would like to have a temporary wife to fulfill certain urges. As a wife, do I have any right to say no?
								","
									   The refusal of the wife does not prevent a valid temporary marriage contract.
								","Hakeem","wife,marriage","wife,marriage"
"2476",1811,"
									   What is the waiting period of temporary marriage? Is it counted from the last time sexual intercourse took place? What if the woman never had sexual intercourse during the temporary marriage, must the waiting period still be observed?
								","
									   The waiting period is obligatory after the end of the stipulated duration of the temporary marriage if the marriage was consummated. The waiting period is not required if the marriage was not consummated (i.e. sexual intercourse did not take place). If the temporary marriage ended during the woman's menstruation period, then the waiting period is completed when her third menstrual period begins.If the temporary marriage ends when she is not in her menstrual period, she should wait for one complete cycle and her waiting period is finished when her second menstrual period begins.
								","Hakeem","marriage,marriage,marriage,marriage,woman,marriage","marriage,marriage,marriage,marriage,woman,marriage"
"2477",1812,"
									   Can a woman, who is in the Iddah of a temporary marriage, marry the same person temporarily again without waiting for the Iddah period to end?
								","
									   It is permissible to do so as long as she is still in the state of Iddah from him, as she is still considered as his wife.
								","Hakeem","wife","wife"
"2478",1813,"
									   Can a man contracts temporary marriage with a woman whose faith and religion is not known to him? Is it necessary for him to inquire about her faith and religion?
								","
									   It is permissible to marry a Muslim, a Christian or a Jewish woman temporarily. Marrying a woman who does not believe in one of these three religions is not permissible. It is necessary to make sure that she does believe in one of these religions before marrying her.
								","Hakeem","woman,woman","woman,woman"
"2480",1815,"
									   I was wondering what my duty is if I wanted to contract a temporary marriage with a Christian who does not know anything about the marriage. Must she say the Arabic, or can we say the marriage contract in English?
								","
									   She does not have to recite in Arabic if she cannot, but you must not marry her unless she realizes that the mentioned relation is a marriage contract with religious commitments.
								","Hakeem","marriage","marriage"
"2481",1816,"
									   I want to marry temporarily a woman who is neither a Muslim nor from the People of the Book. She is prepared to recite the two testimonies (Shahadatain) in English in order to make marriage to her permissible for me. Does this make it permissible for me to marry her?
								","
									   If she pronounced the two testimonies with the acknowledgment of its meanings and commitment to them in such a way that she sees herself, because of this, a Muslim, then she is considered as one and your marriage to her is valid. If her testimony was not sincere and without accepting their meanings, then she is not a Muslim and your relationship with her is not permissible.
								","Hakeem","marriage","marriage"
"2482",1817,"
									   If I want to marry temporarily a Christian girl who, in her religion, does not need the permission of the father to get married, can we thus form a temporary marriage contract and be allowed to consummate the marriage without his permission?
								","
									   If the consent of the guardian is not required based on his religion, it is permissible to marry his virgin daughter without his permission. The permission is also not required if the father mandates his daughter to deal with the matter of her marriage.
								","Hakeem","daughter,daughter,marriage","daughter,daughter,marriage"
"2483",1818,"
									   I wish to enter into a temporary marriage with a man I have known for some time. Is it necessary for my father to approve it, or is it permissible for the temporary marriage to be known only to me and this man?
								","
									   If the woman is virgin and she wanted to conduct a marriage contract and consummate the marriage then it is a condition in the correctness of her marriage to get the permission of her guardian, father or paternal grandfather.If she is a virgin then it is permissible for her to marry temporarily without her guardian's consent and all sexual acts are permitted except sexual intercourse. The latter is permissible with the guardian's permission. If she is a widow or divorced then it is permissible for her to conduct temporary marriage and consummate the marriage without the father's permission.
								","Hakeem","woman,marriage,marriage,marriage,widow,divorce,marriage,marriage","woman,marriage,marriage,marriage,widow,divorce,marriage,marriage"
"2486",1821,"
									   If a man contracts temporary marriage with a woman who lost her virginity through unlawful means, is the contract valid without the permission of her father or grandfather, and can he consummate the marriage?
								","
									   She is treated as a virgin; so the marriage contract is valid but he is not permitted to consummate the marriage without the permission of the guardian.
								","Hakeem","marriage,marriage","marriage,marriage"
"2487",1822,"
									   If a virgin girl enters into a temporary marriage contract with someone without the permission of her father, then is it valid in the eyes of God?
								","
									   The temporary marriage contract is correct without the permission of the father, but it is not permissible to consummate the marriage without his permission.
								","Hakeem","marriage,marriage","marriage,marriage"
"2488",1823,"
									   A man had agreed to marry his daughter in temporary marriage to someone with the condition that they will not have sexual intercourse. What if the couple get a strong urge to have sexual intercourse and also know that they cannot ask the girl's father for permission because they know that he will not permit it, what are the couple supposed to do in that case?
								","
									   It is not permissible to consummate the marriage without the permission of the father. If it did happen, then it is unlawful.
								","Hakeem","marriage","marriage"
"2489",1824,"
									   If I want to have a temporary marriage with a Shia girl who does taqleed of a scholar that says she does not need the permission of her father for marriage, can we thus have a temporary marriage contract and be allowed to consummate the marriage without his permission?
								","
									   If the consent of the guardian is a condition in the marriage based on the taqleed of the man, then it must be considered as a condition, even if the girl follows a marja who does not stipulate it.
								","Hakeem","marriage","marriage"
"2490",1825,"
									   If I want to have a temporary marriage with a Sunni girl who follows a sect that does not stipulate the permission of her father for marriage, can we thus have a temporary marriage contract and be allowed to consummate the marriage?
								","
									   It is permissible to marry temporarily in the said situation if the guardian's religion does not stipulate his consent in the validity of the marriage.
								","Hakeem","marriage","marriage"
"2491",1826,"
									   Can there be a divorce in temporary marriage?
								","
									   There is no divorce in temporary marriage. The husband can waive the remaining period of the contract. If he did, then she is no longer his wife.
								","Hakeem","divorce,marriage,wife","divorce,marriage,wife"
"2492",1827,"
									   I had a temporary marriage contract with a girl. We decided to end our relationship. After some time, the girl then did not accept this decision. Where does our marriage stand?
								","
									   The temporary marriage relationship is ended when you decided to waive the remaining time of the contract and you did so verbally, although it is better to convince her of your decision.
								","Hakeem","marriage","marriage"
"2493",1828,"
									   Is it permissible to absolve the remaining temporary marriage duration via email and in the English language?
								","
									   It is permissible to forgo the remaining time of the marriage period even without directly addressing the wife; the husband can say in any language that his wife so-and-so is released for the rest of the marriage duration.
								","Hakeem","marriage,wife,wife,marriage","marriage,wife,wife,marriage"
"2494",1829,"
									   Is it permissible for the wife in a temporary marriage to end the marriage by forgoing the remaining time of marriage?
								","
									   The time in the said marriage is the right of the husband and only he can forgo it. But it is permissible for the wife to make a condition in the contract that she acts on his behalf in this matter. She can then forgo the remaining time.
								","Hakeem","marriage,wife","marriage,wife"
"2495",1830,"
									   I entered into temporary marriage with a Christian woman. If she embraces Islam and becomes Muslim, can I continue our marriage with her?
								","
									   Yes, the temporary marriage contract can be continued.
								","Hakeem","marriage","marriage"
"2496",1831,"
									   If I have done a temporary marriage contract with a man who is in different country, if we were to end the contract, how do we go on about that?
								","
									   He can forgo the remaining time of the contract, and he can also assign the wife as his agent in forgoing the rest of the duration of the marriage.
								","Hakeem","wife,marriage","wife,marriage"
