"","X","Question","Answer","Speaker"
"1060",1060,"
									   What his Eminence's view on fasting on the day of Ashura?
								","
									   Many narrations exhort and urge the believers to cry and express grief and sadness on the day of Ashura for what happened to Imam Hussain (peace be upon him) on that day. It is also narrated that it is recommended during the day to refrain from dealing with livelihood issues, and from eating and drinking without the intention to fast, and then eat and drink in the late afternoon even by a sip of water.
								","Hakeem"
"1061",1061,"
									   If a guest comes during the month of Ramadan, can I feed him, as he is not fasting?
								","
									   It is permissible to feed the guest during the day in the month of Ramadan if such a thing does not violate the sanctity of the month or encourage committing a sin.
								","Hakeem"
"1062",1062,"
									   What are the days of the week which are especially recommended to fast on?
								","
									   It is recommended to fast every Thursday and every Friday, as long as they do not coincide with the day of Eid.
								","Hakeem"
"1063",1063,"
									   I studied at a public school far away from my home. I used to end my obligatory fasts with the Sunni majority, immediately after sunset. Similarly, I offered the Maghrib prayer immediately after sunset. Please guide me as to whether my fasts and Maghrib prayers are void, and whether it's obligatory on me to repeat the fasts and prayers? Besides this, is a kaffara also obligatory on me?
								","
									   If you break your fast or performed your prayer before the setting of the sun, then your fast or prayers are invalid. But if you did so after sunset, then your fasts and prayers are correct. If you doubt whether they are correct or not, then you should consider them as correct. There is no kaffara, unless you deliberately broke your fast before the designated time.
								","Hakeem"
"1064",1064,"
									   Regular soap and toothpaste has fragrance in it; can it be used by those sitting in i'tikaf?
								","
									   It is not permitted for the person during the state of i'tikaf to smell fragrance with enjoyment. Based on an obligatory precaution a person during the state of i'tikaf should completely avoid all kinds of fragrance. If the use of toothpaste causes this, one should refrain from it; if it does not then it is permissible.
								","Hakeem"
"1065",1065,"
									   If a mosque does not have the facility of performing wudhu within the specified mosque boundary, can the person doing i'tikaf step out of the mosque to do obligatory or recommended wudhu?
								","
									   He is permitted to leave the mosque to perform the wudhu and come back.
								","Hakeem"
"1066",1066,"
									   Our mosque has two rooms; one of them is a prayer room and has been designated as the ‘masjid’. The second room is the shoes room, wudhu area and entrance area but this has not been intended to be a part of the ‘masjid’. Is it permissible during I’tikaf to enter this second room?
								","
									   I’tikaf is valid only if it takes place in a central mosque that most people in the town go to; it is not sufficient for it to be in any mosque in the town. It is also a condition in the validity of the I’tikaf that it takes place in a mosque in which the congregational prayer is being offered, or has been offered in it before even once – based on obligatory precaution. I’tikaf is not in order if it is in a room that is not a mosque. It is not permissible for the person during I’tikaf to leave the mosque unless for a religious or conventional necessity.
								","Hakeem"
"1067",1067,"
									   Please could you explain why it has become widely circulated that the Shias pay the Khums, while the payment of Zakat is not common amongst them, although I know that they are both equally obligatory?
								","
									   Zakat is among the obligations that have been emphasized by the Holy Quran and the traditions of the Prophet and the Ahlulbait (peace be upon them). Not paying it is considered among the major sins for which Allah has promised hellfire. The jurists have explained the conditions and rulings about Zakat in their books. Zakat is obligatory on the following three groups of properties  (1) Gold and silver minted coins. (2) The four crops  wheat, barley, raisins and dates. (3) The four livestock  camels, cows, goats and sheep. Gold and silver coins are not used as tender nowadays, so the Zakat on this group does not apply. The Zakat on the other items are not obligatory unless their quantity reaches a particular threshold, which most people do not possess nowadays. One can see that the application of obligatory Zakat is much less than Khums, which is obligatory on all net income, as Allah has said  “And know that whatever thing you gain, indeed a fifth thereof is for Allah, and for the Messenger and for the kinsman and orphans and the needy and the wayfarer” (8 41).The condition of the obligation of Khums, which is the existence of a net income, applies to almost everybody, however little it may be. On the other hand, Zakat is only applicable for those who own at least a particular amount of the mentioned crops and livestock.
								","Hakeem"
"1068",1068,"
									   Is payment of Zakat on any amount of money obligatory and what are the conditions to be met, if any?
								","
									   It is not obligatory to pay the Zakat on cash, as it is not one of the nine things upon which Zakat is obligatory. However, it is obligatory to pay Khums if the necessary conditions are met.
								","Hakeem"
"1069",1069,"
									   My wife has been pregnant for five months, and Eid-ul-Fitr is approaching, when I will have to pay Zakat-ul-Fitra. Do I also have to pay for my unborn child?
								","
									   It is not obligatory to pay Zakat-ul-Fitra for the fetus.
								","Hakeem"
"1070",1070,"
									   For those that have a Sayyida mother, but whose father is not a Sayyid, are they permitted to collect Zakat ul-Fitra?
								","
									   They are not considered as Hashemite, so they are permitted to collect Zakat ul-Fitra from non-Hashemites. The Zakat of non-Hashemites cannot be given to a needy Hashemite.
								","Hakeem"
"1071",1071,"
									   Is it permissible for Zakat to be given to a particular appointed person in the Community? What if the appointed person or group does not spend the Zakat money as per Islamic guidelines, can we pay them the Zakat?
								","
									   It is permissible to give the zakat to the appointed person if he is trustworthy to pass it to whoever deserves it. If one is not sure of his trustworthiness, his payment of Zakat to him is invalid.
								","Hakeem"
"1072",1072,"
									   How can I calculate zakat on my wealth?
								","
									   There is no zakat on real estate or on cash assets.
								","Hakeem"
"1073",1073,"
									   If I am a guest, can I free my host from the liability of paying my family’s Zakat al-Fitra?
								","
									   It is permissible to free the host from your Zakat al-Fitra by paying it yourself.
								","Hakeem"
"1074",1074,"
									   When paying Zakat al-Fitra, is it necessary that the poor Shia recipient offers the five daily prayers? Is it possible to give it to children of a single mother who does not pray?
								","
									   Based on an obligatory precaution one should not pay Zakat al-Fitra to a believer who does not pray. It is permissible to pay it to a child.
								","Hakeem"
"1075",1075,"
									   My wife has some gold jewelry which she wears occasionally, and it is about 120 grams in total. Is Zakat due on this?
								","
									   There is no Zakat on gold jewelry.
								","Hakeem"
"1076",1076,"
									   We have two cats; both are over four years old. Are they liable for Zakat?
								","
									   There is no zakat on cats.
								","Hakeem"
"1077",1077,"
									   Is Zakat-ul-Fitra obligatory on someone whose income can meet his annual needs?
								","
									   Yes, Zakat-ul-Fitra is not obligatory on those whose income cannot meet his annual expenses
								","Hakeem"
"1078",1078,"
									   My parents do not pay Zakat ul-Fitra on our behalf. So, is it obligatory on me as their son to pay it on my behalf?
								","
									   It is obligatory based on compulsory precaution.
								","Hakeem"
"1079",1079,"
									   Do I have to pay any Zakat on my monthly salary?
								","
									   Zakat is not obligatory on the monthly salary. Instead, Khums is applicable if certain conditions are met.
								","Hakeem"
"1080",1080,"
									   I did not fast during this month of Ramadan due to illness. Does this mean that I do not have to pay Zakat ul-Fitra?
								","
									   A duty-bound individual who is not needy as per the Sharia is obligated to pay the Fitra for himself and all his dependents, even if he did not fast that month.
								","Hakeem"
"1081",1081,"
									   Is it permissible to pay Zakat al-Fitra to a needy person who did not fast the month of Ramadan?
								","
									   If the needy person did not fast during the holy month for a valid reason accepted by the Sharia, then it is permissible to give him Zakat al-Fitra. If he abstained from fasting without a justifiable reason, then it is not permissible to pay it to him based on an obligatory precaution.
								","Hakeem"
"1082",1082,"
									   What are the ways to know if someone is a Sayyid? And what are the consequences in the Islamic sharia of being a Sayyid?
								","
									   Sayyids are the descendants of Hashim bin Abd Munaf. Such linage is proven by any of three ways  (i) knowing it, (ii) by the witness of two adil people, or (iii) by it being widely-known that leads to being confident about it. The religious effects of being a Sayyid are the eligibility to collect the Sayyid’s share from the khums in the case of poverty, and the prohibition to collect the zakat from a non-Sayyid.
								","Hakeem"
"1083",1083,"
									   When Zakat al-Fitra is given to a poor person in cash rather than food, is it obligatory for the recipient to spend it on food?
								","
									   It is not obligatory to spend the money of Zakat al-Fitra on food.
								","Hakeem"
"1084",1084,"
									   55. Is it permissible for me to give preference to practicing believers especially men having a beard and women observing hijab in giving alms, khums, zakat?
								","
									   It is not permissible to pay such financial obligations to the consumer of wine and it is permissible to do so to sinners if they are needy. Based on compulsory precaution, it is not permissible to pay the committer of major sins which are worse than consuming wine, such as not performing the prayers.
								","Hakeem"
"1085",1085,"
									   My wife and I are both working. We have a joint current account into which both our salaries are deposited. Is Zakat due on my bank account balance that remains at the end of our financial year?
								","
									   The balance in the bank account is not subject to Zakat.
								","Hakeem"
"1086",1086,"
									   Please could you explain why it has become widely circulated that the Shias pay the Khums, while the payment of Zakat is not common amongst them, although I know that they are both equally obligatory?
								","
									   Zakat is among the obligations that have been emphasized by the Holy Quran and the traditions of the Prophet and the Ahlulbait (peace be upon them). Not paying it is considered among the major sins for which Allah has promised hellfire. The jurists have explained the conditions and rulings about Zakat in their books. Zakat is obligatory on the following three groups of properties  (1) Gold and silver minted coins. (2) The four crops  wheat, barley, raisins and dates. (3) The four livestock  camels, cows, goats and sheep. Gold and silver coins are not used as tender nowadays, so the Zakat on this group does not apply. The Zakat on the other items are not obligatory unless their quantity reaches a particular threshold, which most people do not possess nowadays. One can see that the application of obligatory Zakat is much less than Khums, which is obligatory on all net income, as Allah has said  “And know that whatever thing you gain, indeed a fifth thereof is for Allah, and for the Messenger and for the kinsman and orphans and the needy and the wayfarer” (8 41).The condition of the obligation of Khums, which is the existence of a net income, applies to almost everybody, however little it may be. On the other hand, Zakat is only applicable for those who own at least a particular amount of the mentioned crops and livestock.
								","Hakeem"
"1087",1087,"
									   Is payment of Zakat on any amount of money obligatory and what are the conditions to be met, if any?
								","
									   It is not obligatory to pay the Zakat on cash, as it is not one of the nine things upon which Zakat is obligatory. However, it is obligatory to pay Khums if the necessary conditions are met.
								","Hakeem"
"1088",1088,"
									   My wife has been pregnant for five months, and Eid-ul-Fitr is approaching, when I will have to pay Zakat-ul-Fitra. Do I also have to pay for my unborn child?
								","
									   It is not obligatory to pay Zakat-ul-Fitra for the fetus.
								","Hakeem"
"1089",1089,"
									   How can I calculate zakat on my wealth?
								","
									   There is no zakat on real estate or on cash assets.
								","Hakeem"
"1090",1090,"
									   My wife has some gold jewelry which she wears occasionally, and it is about 120 grams in total. Is Zakat due on this?
								","
									   There is no Zakat on gold jewelry.
								","Hakeem"
"1091",1091,"
									   We have two cats; both are over four years old. Are they liable for Zakat?
								","
									   There is no zakat on cats.
								","Hakeem"
"1092",1092,"
									   Is Zakat-ul-Fitra obligatory on someone whose income can meet his annual needs?
								","
									   Yes, Zakat-ul-Fitra is not obligatory on those whose income cannot meet his annual expenses
								","Hakeem"
"1093",1093,"
									   My parents do not pay Zakat ul-Fitra on our behalf. So, is it obligatory on me as their son to pay it on my behalf?
								","
									   It is obligatory based on compulsory precaution.
								","Hakeem"
"1094",1094,"
									   Do I have to pay any Zakat on my monthly salary?
								","
									   Zakat is not obligatory on the monthly salary. Instead, Khums is applicable if certain conditions are met.
								","Hakeem"
"1095",1095,"
									   I did not fast during this month of Ramadan due to illness. Does this mean that I do not have to pay Zakat ul-Fitra?
								","
									   A duty-bound individual who is not needy as per the Sharia is obligated to pay the Fitra for himself and all his dependents, even if he did not fast that month.
								","Hakeem"
"1096",1096,"
									   Is it permissible to pay Zakat al-Fitra to a needy person who did not fast the month of Ramadan?
								","
									   If the needy person did not fast during the holy month for a valid reason accepted by the Sharia, then it is permissible to give him Zakat al-Fitra. If he abstained from fasting without a justifiable reason, then it is not permissible to pay it to him based on an obligatory precaution.
								","Hakeem"
"1097",1097,"
									   My wife and I are both working. We have a joint current account into which both our salaries are deposited. Is Zakat due on my bank account balance that remains at the end of our financial year?
								","
									   The balance in the bank account is not subject to Zakat.
								","Hakeem"
"1098",1098,"
									   For those that have a Sayyida mother, but whose father is not a Sayyid, are they permitted to collect Zakat ul-Fitra?
								","
									   They are not considered as Hashemite, so they are permitted to collect Zakat ul-Fitra from non-Hashemites. The Zakat of non-Hashemites cannot be given to a needy Hashemite.
								","Hakeem"
"1099",1099,"
									   When paying Zakat al-Fitra, is it necessary that the poor Shia recipient offers the five daily prayers? Is it possible to give it to children of a single mother who does not pray?
								","
									   Based on an obligatory precaution one should not pay Zakat al-Fitra to a believer who does not pray. It is permissible to pay it to a child.
								","Hakeem"
"1100",1100,"
									   What are the ways to know if someone is a Sayyid? And what are the consequences in the Islamic sharia of being a Sayyid?
								","
									   Sayyids are the descendants of Hashim bin Abd Munaf. Such linage is proven by any of three ways  (i) knowing it, (ii) by the witness of two adil people, or (iii) by it being widely-known that leads to being confident about it. The religious effects of being a Sayyid are the eligibility to collect the Sayyid’s share from the khums in the case of poverty, and the prohibition to collect the zakat from a non-Sayyid.
								","Hakeem"
"1101",1101,"
									   Is it permissible for Zakat to be given to a particular appointed person in the Community? What if the appointed person or group does not spend the Zakat money as per Islamic guidelines, can we pay them the Zakat?
								","
									   It is permissible to give the zakat to the appointed person if he is trustworthy to pass it to whoever deserves it. If one is not sure of his trustworthiness, his payment of Zakat to him is invalid.
								","Hakeem"
"1102",1102,"
									   If I am a guest, can I free my host from the liability of paying my family’s Zakat al-Fitra?
								","
									   It is permissible to free the host from your Zakat al-Fitra by paying it yourself.
								","Hakeem"
"1103",1103,"
									   When Zakat al-Fitra is given to a poor person in cash rather than food, is it obligatory for the recipient to spend it on food?
								","
									   It is not obligatory to spend the money of Zakat al-Fitra on food.
								","Hakeem"
"1104",1104,"
									   55. Is it permissible for me to give preference to practicing believers especially men having a beard and women observing hijab in giving alms, khums, zakat?
								","
									   It is not permissible to pay such financial obligations to the consumer of wine and it is permissible to do so to sinners if they are needy. Based on compulsory precaution, it is not permissible to pay the committer of major sins which are worse than consuming wine, such as not performing the prayers.
								","Hakeem"
"1105",1105,"
									   If I have £100 on which khums is due on, and I put aside £20 from it as khums to pay it at the end of the year, am I not allowed to spend the remaining £80 before the £20 is paid?
								","
									   When it is possible to pay the khums to whoever deserves it or to the agent, one should hasten to do so. One can use the rest of the money whether he paid the khums or not.
								","Hakeem"
"1106",1106,"
									   I am currently unemployed and looking for work. Is khums obligatory on me to pay? Who do I pay it to?
								","
									   Khums is obligatory once a year. It is on what exceeds the expenses during the year. One should refer to an agent of the marji', and determine a fixed yearly time to pay khums after calculating it.
								","Hakeem"
"1107",1107,"
									   I work for a retail company in the West, and they pay my wages directly into my bank account. This money has never been withdrawn by me and has sat in my account since it was transferred. I do transfer a part of it into another savings account through the internet every month. After a year of transferring, but never withdrawing and holding the money physically, will this money be subject to Khums, and is Hajj obligatory on me if there is enough in the savings account to cover Hajj costs?
								","
									   If you work in a state establishment and your salary is transferred directly to a state-owned bank, then the laws of khums and Hajj do not apply on the salary. They both apply on amounts that you withdraw from the bank. Both conditions must be present (working for the state and the bank being owned by the state) in order for this ruling to apply. If one of the two conditions are not fulfilled, like if you work for a private establishment or the amount is transferred to a private bank, or both of them are not present, the regular laws of Khums and Hajj apply. That is, if the amount adds up to what is sufficient to cover the cost of Hajj, it becomes obligatory. Likewise, Khums has to be paid from the unused portion of it at the end of the Khums year.
								","Hakeem"
"1108",1108,"
									   If a person has not paid Khums yet, and meanwhile he performs obligatory Hajj, will his Hajj be valid?
								","
									   His pilgrimage is valid. He must hasten to pay Khums.
								","Hakeem"
"1109",1109,"
									   I just began to pay khums this year, but I have been a Muslim for over 5 years. How do I calculate how much khums to pay if I do not know how much money I made in the past 5 years?
								","
									   May Allah accept from you this sincere intention in upholding His teachings and obligations. Khums is a divinely-prescribed obligation. It is the fifth of the yearly income after deducting expenses. It can be calculated as a fifth of all the monies that is in one’s possession plus the fifth of the worth of the items that were unused during the year. This khums amount is divided into two equal amounts  The first one is the share of Sayyids. It should be spent on needy people from the clan of Hashim, the great-grandfather of the Prophet (peace be upon him and his progeny). The second one is the share of the Imam (peace be upon him). It should be given to the religious Adil Marji who is able to spend it in accordance to what pleases the twelfth Imam (peace be upon him).
								","Hakeem"
"1110",1110,"
									   On what can we spend the Share of the Imam (peace be upon him) from Khums?
								","
									   One should refer to the Marji or his agents for that.
								","Hakeem"
"1111",1111,"
									   Please explain to me briefly what khums is and when it becomes obligatory. Who must I give it to and how often?
								","
									   Khums is a divinely-ordained financial obligation. It is the fifth of the yearly income that remains unspent. So, you should determine a specific day to calculate your profits in coordination with the Marja’ or his appointed agent. Every year on this specific day, you calculate the fifth of all the net income that you possess plus the fifth of the worth of items that were not used during the year. The khums amount is divided into two equal amounts  one is to be given to needy people amongst the offspring of Hashim – the great-grandfather of the Prophet (peace be upon him) – and the second is to be spent with the coordination of the Marja’ by referring to him or his appointed agent to spend it in the ways of serving the religion and fulfilling the necessities of the believers.
								","Hakeem"
"1112",1112,"
									   I know that when a person receives income then he has to pay one-fifth of it after expenses for the year. However, if I receive a weekly salary and I pay the khums from it every week, have I paid the obligatory khums for the year?
								","
									   If one pays khums every week from his weekly salary, then he does not have to pay khums at end of the khums year. If he did not do so, as he is permitted to delay the payment of khums until the end of the khums year, then he can pay the khums from the remainder of his earnings after the payment of the yearly expenses.
								","Hakeem"
"1113",1113,"
									   I have started my business last year on credit basis and by the grace of Allah I have completed one year of business this year. So please tell me how I should calculate khums from business earnings even if I still have debts to clear.
								","
									   With the assumption that you paid khums on the capital money before you used it for the business, at the end of the khums year the debts and all other paid expenses for that year are deducted from the profits, and khums is due on the remaining balance. If the balance is zero or negative, no khums is due for that year.
								","Hakeem"
"1114",1114,"
									   Is it obligatory to pay khums on what is spent on prohibited expenses, such as paying a barber to shave one's beard?
								","
									   Khums is not obligatory on expenses if they were spent in prohibited ways. However, a believer is expected not to perform any prohibited thing even if he thinks it is small, since it is a disobedience to Almighty Allah.
								","Hakeem"
"1115",1115,"
									   I have taken some money as a loan from my father and I am using it for my business. Will I need to pay Khums on this?
								","
									   Khums is not obligatory on the loan, it is obligatory on the profits.
								","Hakeem"
"1116",1116,"
									   Do I need to pay Khums on the money for which I have paid last year?
								","
									   It is not obligatory to pay Khums from monies that Khums was paid from in past years.
								","Hakeem"
"1117",1117,"
									   I own some items at home. Do I pay khums for these every year even if I have used them?
								","
									   If they were used, then it is not obligatory to pay khums for them. Otherwise, they are subject to khums once.
								","Hakeem"
"1118",1118,"
									   If a person is poor can we give the share of the Imam from the Khums to his brother?
								","
									   It is permissible to spend the Share of the Imam (Sahmul-Imam) to fulfill the necessities of destitute believers, after referring to the Marji or his agents.
								","Hakeem"
"1119",1119,"
									   Regarding khums, suppose I purchase a box of 100 pens from a store. But I only use 20 of those pens in one year. Is there khums due on the remaining 80 pens? Or are they all considered to be ""used"" as soon as I open the original box from the store? I have a similar question about a notebook. Suppose I buy a notebook with 100 pages and only use 20 of those pages. Is there khums due on the unused paper in that notebook (80 pages) after one year from its purchase? Or is khums no longer due the moment I wrote in one page of the notebook?
								","
									   If what you need can only be obtained in a larger quantity, then khums is not applicable on what remains from that. For example, if you need a notebook of 20 pages, but you could not find a 20-page notebook, and the closest to it is a 100-page notebook, then the unused part of the notebook will not be subject to khums. Similarly, if you need 20 pens, and you can purchase 20 pens without needing to buy 100 pens, then the unused pens will be subject to khums.
								","Hakeem"
"1120",1120,"
									   If I had $1000 at the end of a year after deducting expenses, and I paid khums leaving $800. During the following year, I spent $200 from the $800. By the end of the year, I saved an extra $400 after expenses. Must I pay khums on $200 or $400?
								","
									   Your net wealth is $1000, whereas $800 is the 80% of last year’s net income after khums was paid. This means that your net income for this year is $200 from which you have to pay khums ($40). Therefore, for the next year $960 will be exempted from khums ($800 from the previous year, plus $160 remaining from the current year).
								","Hakeem"
"1121",1121,"
									   Can I use share of the Imam (peace be upon him) for the maintenance and/or the construction of a Hussainiya which is run by my family?
								","
									   Using the share of Imam (peace be upon him) from the khums is not permissible without referring to the Marji’ or his appointed agent.
								","Hakeem"
"1122",1122,"
									   If I have started employment and am earning my own income, how do I give khums? Do I give 20% of my salary each time it enters my bank account? Do I wait a year and then give 20% of what I have left?
								","
									   If the salary payments are deposited in an account in a private or government bank, then it is subject to khums. This also applies to a transfer of the salary payments to an account in a private bank.  If the salary payments are transferred into an account in a government bank, then it not considered owned until it is withdrawn physically and khums is not due before that. It is obligatory to pay khums at the end of the khums year from what remains after any expenses paid.
								","Hakeem"
"1123",1123,"
									   I work as an employee in a Government office in India, and some amount from our monthly salary is paid towards a pension fund. This amount remains in their custody and at the disposal of the Government. When the employee retires, the money with interest will be paid back to him. If the employee at some point during his service requires some money from his pension fund, it is paid to him with the condition that he pays it back within a specific timeframe. Now the question is if the employee, during his service period, withdraws some amount from his pension fund account, has he to pay the Khums of this amount immediately considering that it has been there for more than a year? What is the ruling on the amount which he redeposits into this account?
								","
									   Khums does not apply to the portion that the government deducts from the salary of the individual. Khums is applicable on withdrawn amounts at the khums year-end, not immediately. Khums is also applicable on the amount that is redeposited, and is payable when the Khums year ends.
								","Hakeem"
"1124",1124,"
									   What are the ways to know if someone is a Sayyid? And what are the consequences in the Islamic sharia of being a Sayyid?
								","
									   Sayyids are the descendants of Hashim bin Abd Munaf. Such linage is proven by any of three ways  (i) knowing it, (ii) by the witness of two adil people, or (iii) by it being widely-known that leads to being confident about it. The religious effects of being a Sayyid are the eligibility to collect the Sayyid’s share from the khums in the case of poverty, and the prohibition to collect the zakat from a non-Sayyid.
								","Hakeem"
"1125",1125,"
									   Please explain to me briefly what khums is and when it becomes obligatory. Who must I give it to and how often?
								","
									   Khums is a divinely-ordained financial obligation. It is the fifth of the yearly income that remains unspent. So, you should determine a specific day to calculate your profits in coordination with the Marja’ or his appointed agent. Every year on this specific day, you calculate the fifth of all the net income that you possess plus the fifth of the worth of items that were not used during the year. The khums amount is divided into two equal amounts  one is to be given to needy people amongst the offspring of Hashim – the great-grandfather of the Prophet (peace be upon him) – and the second is to be spent with the coordination of the Marja’ by referring to him or his appointed agent to spend it in the ways of serving the religion and fulfilling the necessities of the believers.
								","Hakeem"
"1126",1126,"
									   Is it justified that I pay khums tax on my income every year, while I also have to pay taxes throughout the year to the Government?
								","
									   The government collects tax for their own purposes and objectives, whereas the khums is a tax legislated in the Sharia taken on the yearly profits that remains after deducting the yearly expenses. The khums is legislated for specific goals which the Holy Legislator intended. Those goals are totally different from the uses of the government imposed taxes. It is natural then for the duty-bound individual to be obligated by the Sharia to pay khums regardless of whether he is paying other taxes or not.
								","Hakeem"
"1127",1127,"
									   I am currently unemployed and looking for work. Is khums obligatory on me to pay? Who do I pay it to?
								","
									   Khums is obligatory once a year. It is on what exceeds the expenses during the year. One should refer to an agent of the marji', and determine a fixed yearly time to pay khums after calculating it.
								","Hakeem"
"1128",1128,"
									   I work for a retail company in the West, and they pay my wages directly into my bank account. This money has never been withdrawn by me and has sat in my account since it was transferred. I do transfer a part of it into another savings account through the internet every month. After a year of transferring, but never withdrawing and holding the money physically, will this money be subject to Khums, and is Hajj obligatory on me if there is enough in the savings account to cover Hajj costs?
								","
									   If you work in a state establishment and your salary is transferred directly to a state-owned bank, then the laws of khums and Hajj do not apply on the salary. They both apply on amounts that you withdraw from the bank. Both conditions must be present (working for the state and the bank being owned by the state) in order for this ruling to apply. If one of the two conditions are not fulfilled, like if you work for a private establishment or the amount is transferred to a private bank, or both of them are not present, the regular laws of Khums and Hajj apply. That is, if the amount adds up to what is sufficient to cover the cost of Hajj, it becomes obligatory. Likewise, Khums has to be paid from the unused portion of it at the end of the Khums year.
								","Hakeem"
"1129",1129,"
									   I know that when a person receives income then he has to pay one-fifth of it after expenses for the year. However, if I receive a weekly salary and I pay the khums from it every week, have I paid the obligatory khums for the year?
								","
									   If one pays khums every week from his weekly salary, then he does not have to pay khums at end of the khums year. If he did not do so, as he is permitted to delay the payment of khums until the end of the khums year, then he can pay the khums from the remainder of his earnings after the payment of the yearly expenses.
								","Hakeem"
"1130",1130,"
									   I have started my business last year on credit basis and by the grace of Allah I have completed one year of business this year. So please tell me how I should calculate khums from business earnings even if I still have debts to clear.
								","
									   With the assumption that you paid khums on the capital money before you used it for the business, at the end of the khums year the debts and all other paid expenses for that year are deducted from the profits, and khums is due on the remaining balance. If the balance is zero or negative, no khums is due for that year.
								","Hakeem"
"1131",1131,"
									   Is it obligatory to pay khums on what is spent on prohibited expenses, such as paying a barber to shave one's beard?
								","
									   Khums is not obligatory on expenses if they were spent in prohibited ways. However, a believer is expected not to perform any prohibited thing even if he thinks it is small, since it is a disobedience to Almighty Allah.
								","Hakeem"
"1132",1132,"
									   I have taken some money as a loan from my father and I am using it for my business. Will I need to pay Khums on this?
								","
									   Khums is not obligatory on the loan, it is obligatory on the profits.
								","Hakeem"
"1133",1133,"
									   Do I need to pay Khums on the money for which I have paid last year?
								","
									   It is not obligatory to pay Khums from monies that Khums was paid from in past years.
								","Hakeem"
"1134",1134,"
									   I own some items at home. Do I pay khums for these every year even if I have used them?
								","
									   If they were used, then it is not obligatory to pay khums for them. Otherwise, they are subject to khums once.
								","Hakeem"
"1135",1135,"
									   Regarding khums, suppose I purchase a box of 100 pens from a store. But I only use 20 of those pens in one year. Is there khums due on the remaining 80 pens? Or are they all considered to be ""used"" as soon as I open the original box from the store? I have a similar question about a notebook. Suppose I buy a notebook with 100 pages and only use 20 of those pages. Is there khums due on the unused paper in that notebook (80 pages) after one year from its purchase? Or is khums no longer due the moment I wrote in one page of the notebook?
								","
									   If what you need can only be obtained in a larger quantity, then khums is not applicable on what remains from that. For example, if you need a notebook of 20 pages, but you could not find a 20-page notebook, and the closest to it is a 100-page notebook, then the unused part of the notebook will not be subject to khums. Similarly, if you need 20 pens, and you can purchase 20 pens without needing to buy 100 pens, then the unused pens will be subject to khums.
								","Hakeem"
"1136",1136,"
									   If I had $1000 at the end of a year after deducting expenses, and I paid khums leaving $800. During the following year, I spent $200 from the $800. By the end of the year, I saved an extra $400 after expenses. Must I pay khums on $200 or $400?
								","
									   Your net wealth is $1000, whereas $800 is the 80% of last year’s net income after khums was paid. This means that your net income for this year is $200 from which you have to pay khums ($40). Therefore, for the next year $960 will be exempted from khums ($800 from the previous year, plus $160 remaining from the current year).
								","Hakeem"
"1137",1137,"
									   If I have started employment and am earning my own income, how do I give khums? Do I give 20% of my salary each time it enters my bank account? Do I wait a year and then give 20% of what I have left?
								","
									   If the salary payments are deposited in an account in a private or government bank, then it is subject to khums. This also applies to a transfer of the salary payments to an account in a private bank.  If the salary payments are transferred into an account in a government bank, then it not considered owned until it is withdrawn physically and khums is not due before that. It is obligatory to pay khums at the end of the khums year from what remains after any expenses paid.
								","Hakeem"
"1138",1138,"
									   I work as an employee in a Government office in India, and some amount from our monthly salary is paid towards a pension fund. This amount remains in their custody and at the disposal of the Government. When the employee retires, the money with interest will be paid back to him. If the employee at some point during his service requires some money from his pension fund, it is paid to him with the condition that he pays it back within a specific timeframe. Now the question is if the employee, during his service period, withdraws some amount from his pension fund account, has he to pay the Khums of this amount immediately considering that it has been there for more than a year? What is the ruling on the amount which he redeposits into this account?
								","
									   Khums does not apply to the portion that the government deducts from the salary of the individual. Khums is applicable on withdrawn amounts at the khums year-end, not immediately. Khums is also applicable on the amount that is redeposited, and is payable when the Khums year ends.
								","Hakeem"
"1139",1139,"
									   I opened a savings account in the bank in my name. This is a family savings account which everyone in my family will contribute to and put money in until it accumulates. Seeing as it is not only my money but belongs to the family, who is it that will have to pay the khums for this?
								","
									   It is obligatory to pay the khums from your own money, not from the money of other people. If the money is mixed with the money of others, it does not affect this obligation, so it is better for each person to keep account of his share.
								","Hakeem"
"1140",1140,"
									   Is there any Khums payable on books given to me by someone as a gift if it stays in my personal library for a period of a year?
								","
									   If you needed them or made use of them even for a short period of time, then khums is not due on them.
								","Hakeem"
"1141",1141,"
									   My bank has given me the option of free transactions if I maintain a balance of $1500 all the time. Do I have to pay khums on this amount at the end of the khums fiscal year?
								","
									   Khums is payable if the amount was deposited into the account and maintained for one full year.
								","Hakeem"
"1142",1142,"
									   Somebody had income from lawful and unlawful sources, like he took interest from the believers. He has stopped doing this now and started practicing the religion. What is his obligation in respect to this money now, considering that he does not know how much he took from who?
								","
									   If he does not know who he took the interest from, and he cannot determine which part of his wealth is lawful and which part is unlawful, then he should pay the khums from the mixed amount.
								","Hakeem"
"1143",1143,"
									   My wife and I are both working. We have a joint current account into which both our salaries are deposited. At the end of the year, a sum remains in the balance. All our expenses are met from this account, and there is no discrimination as to whose money is being utilized. How do we calculate khums that is due?
								","
									   You can calculate the khums of the amount in the bank account by calculating 20% of the remaining balance.
								","Hakeem"
